sector,variant,pair_label,fast_window,slow_window,threshold_label,threshold_pct,volume_label,use_volume_filter,volume_window,volume_multiplier,signal_column,total_active_signals,correct_signals,directional_accuracy,hit_rate,meets_min_active_signals
Energi,SMA10/SMA50 | No Threshold | Volume >= VolMA20,SMA10/SMA50,10,50,No Threshold,0.0,Volume >= VolMA20,True,20,1.0,SMA_10_50_TH_0p0_VOL_Signal,24,17,70.83333333333334,67.5,True
Teknologi,SMA10/SMA50 | No Threshold | No Volume Filter,SMA10/SMA50,10,50,No Threshold,0.0,No Volume Filter,False,20,0.0,SMA_10_50_TH_0p0_NOVOL_Signal,46,22,47.82608695652174,47.32142857142857,True
Teknologi,SMA10/SMA50 | Threshold 0.10% | No Volume Filter,SMA10/SMA50,10,50,Threshold 0.10%,0.001,No Volume Filter,False,20,0.0,SMA_10_50_TH_0p001_NOVOL_Signal,39,17,43.58974358974359,45.83333333333333,True
Teknologi,SMA10/SMA50 | No Threshold | Volume >= VolMA20,SMA10/SMA50,10,50,No Threshold,0.0,Volume >= VolMA20,True,20,1.0,SMA_10_50_TH_0p0_VOL_Signal,18,7,38.88888888888889,42.30769230769231,True
Teknologi,SMA10/SMA50 | Threshold 0.25% | No Volume Filter,SMA10/SMA50,10,50,Threshold 0.25%,0.0025,No Volume Filter,False,20,0.0,SMA_10_50_TH_0p0025_NOVOL_Signal,27,9,33.33333333333333,35.60606060606061,True
Teknologi,SMA10/SMA50 | Threshold 0.50% | No Volume Filter,SMA10/SMA50,10,50,Threshold 0.50%,0.005,No Volume Filter,False,20,0.0,SMA_10_50_TH_0p005_NOVOL_Signal,19,6,31.57894736842105,32.35294117647059,True
Teknologi,SMA10/SMA50 | Threshold 0.10% | Volume >= VolMA20,SMA10/SMA50,10,50,Threshold 0.10%,0.001,Volume >= VolMA20,True,20,1.0,SMA_10_50_TH_0p001_VOL_Signal,14,4,28.57142857142857,33.333333333333336,True
Teknologi,SMA20/SMA50 | Threshold 0.50% | Volume >= VolMA20,SMA20/SMA50,20,50,Threshold 0.50%,0.005,Volume >= VolMA20,True,20,1.0,SMA_20_50_TH_0p005_VOL_Signal,4,4,100.0,100.0,False
Teknologi,SMA20/SMA50 | Threshold 0.25% | Volume >= VolMA20,SMA20/SMA50,20,50,Threshold 0.25%,0.0025,Volume >= VolMA20,True,20,1.0,SMA_20_50_TH_0p0025_VOL_Signal,6,5,83.33333333333334,83.33333333333333,False
Teknologi,SMA10/SMA50 | Threshold 0.25% | Volume >= VolMA20,SMA10/SMA50,10,50,Threshold 0.25%,0.0025,Volume >= VolMA20,True,20,1.0,SMA_10_50_TH_0p0025_VOL_Signal,9,1,11.11111111111111,14.285714285714286,False
Teknologi,SMA10/SMA50 | Threshold 0.50% | Volume >= VolMA20,SMA10/SMA50,10,50,Threshold 0.50%,0.005,Volume >= VolMA20,True,20,1.0,SMA_10_50_TH_0p005_VOL_Signal,7,0,0.0,0.0,False
