sector,indicator,variant,threshold_label,threshold_pct,level_label,lower_level,upper_level,candle_label,use_candle_confirmation,volume_label,use_volume_filter,volume_window,volume_multiplier,total_active_signals,correct_signals,directional_accuracy,hit_rate,meets_min_active_signals
Teknologi,RSI,RSI14 + SMA50 | RSI 35/65 | No Candle Confirmation | No Volume Filter,,,RSI 35/65,35.0,65.0,No Candle Confirmation,False,No Volume Filter,False,20,0.0,33,17,51.515151515151516,54.76190476190476,True
Teknologi,RSI,RSI14 + SMA50 | RSI 40/60 | Candle Confirmation | No Volume Filter,,,RSI 40/60,40.0,60.0,Candle Confirmation,True,No Volume Filter,False,20,0.0,46,23,50.0,46.55172413793103,True
Teknologi,RSI,RSI14 + SMA50 | RSI 40/60 | Candle Confirmation | Volume >= VolMA20,,,RSI 40/60,40.0,60.0,Candle Confirmation,True,Volume >= VolMA20,True,20,1.0,26,13,50.0,45.0,True
Teknologi,RSI,RSI14 + SMA50 | RSI 35/65 | Candle Confirmation | Volume >= VolMA20,,,RSI 35/65,35.0,65.0,Candle Confirmation,True,Volume >= VolMA20,True,20,1.0,17,7,41.17647058823529,42.857142857142854,True
Teknologi,RSI,RSI14 + SMA50 | RSI 35/65 | No Candle Confirmation | Volume >= VolMA20,,,RSI 35/65,35.0,65.0,No Candle Confirmation,False,Volume >= VolMA20,True,20,1.0,18,7,38.88888888888889,39.285714285714285,True
Teknologi,RSI,RSI14 + SMA50 | RSI 25/75 | Candle Confirmation | No Volume Filter,,,RSI 25/75,25.0,75.0,Candle Confirmation,True,No Volume Filter,False,20,0.0,6,4,66.66666666666666,70.0,False
Teknologi,RSI,RSI14 + SMA50 | RSI 25/75 | No Candle Confirmation | No Volume Filter,,,RSI 25/75,25.0,75.0,No Candle Confirmation,False,No Volume Filter,False,20,0.0,6,4,66.66666666666666,70.0,False
Teknologi,RSI,RSI14 + SMA50 | RSI 25/75 | Candle Confirmation | Volume >= VolMA20,,,RSI 25/75,25.0,75.0,Candle Confirmation,True,Volume >= VolMA20,True,20,1.0,3,2,66.66666666666666,66.66666666666667,False
Teknologi,RSI,RSI14 + SMA50 | RSI 25/75 | No Candle Confirmation | Volume >= VolMA20,,,RSI 25/75,25.0,75.0,No Candle Confirmation,False,Volume >= VolMA20,True,20,1.0,3,2,66.66666666666666,66.66666666666667,False
Teknologi,RSI,RSI14 + SMA50 | RSI 30/70 | Candle Confirmation | Volume >= VolMA20,,,RSI 30/70,30.0,70.0,Candle Confirmation,True,Volume >= VolMA20,True,20,1.0,9,4,44.44444444444444,50.0,False
Teknologi,RSI,RSI14 + SMA50 | RSI 30/70 | No Candle Confirmation | Volume >= VolMA20,,,RSI 30/70,30.0,70.0,No Candle Confirmation,False,Volume >= VolMA20,True,20,1.0,9,4,44.44444444444444,50.0,False
